	ligand	receptor	annotation	pathway
SLC18A1_PNMT|ADRA1B	SLC18A1_PNMT	ADRA1B	Non-protein Signaling	Adrenaline
SLC18A1_PNMT|ADRA1D	SLC18A1_PNMT	ADRA1D	Non-protein Signaling	Adrenaline
SLC18A1_PNMT|ADRA2A	SLC18A1_PNMT	ADRA2A	Non-protein Signaling	Adrenaline
SLC18A1_PNMT|ADRA2B	SLC18A1_PNMT	ADRA2B	Non-protein Signaling	Adrenaline
SLC18A1_PNMT|ADRA2C	SLC18A1_PNMT	ADRA2C	Non-protein Signaling	Adrenaline
SLC18A1_PNMT|ADRB1	SLC18A1_PNMT	ADRB1	Non-protein Signaling	Adrenaline
SLC18A1_PNMT|ADRB2	SLC18A1_PNMT	ADRB2	Non-protein Signaling	Adrenaline
SLC18A1_PNMT|ADRB3	SLC18A1_PNMT	ADRB3	Non-protein Signaling	Adrenaline
SLC18A1_TPH1|HTR1A	SLC18A1_TPH1	HTR1A	Non-protein Signaling	5-HT
SLC18A1_TPH1|HTR1B	SLC18A1_TPH1	HTR1B	Non-protein Signaling	5-HT
SLC18A1_TPH1|HTR1D	SLC18A1_TPH1	HTR1D	Non-protein Signaling	5-HT
SLC18A1_TPH1|HTR1E	SLC18A1_TPH1	HTR1E	Non-protein Signaling	5-HT
SLC18A1_TPH1|HTR1F	SLC18A1_TPH1	HTR1F	Non-protein Signaling	5-HT
SLC18A1_TPH1|HTR2A	SLC18A1_TPH1	HTR2A	Non-protein Signaling	5-HT
SLC18A1_TPH1|HTR2B	SLC18A1_TPH1	HTR2B	Non-protein Signaling	5-HT
SLC18A1_TPH1|HTR2C	SLC18A1_TPH1	HTR2C	Non-protein Signaling	5-HT
SLC18A1_TPH1|HTR3A_HTR3C_HTR3E_HTR3B_HTR3D	SLC18A1_TPH1	HTR3A_HTR3C_HTR3E_HTR3B_HTR3D	Non-protein Signaling	5-HT
SLC18A1_TPH1|HTR4	SLC18A1_TPH1	HTR4	Non-protein Signaling	5-HT
SLC18A1_TPH1|HTR5A	SLC18A1_TPH1	HTR5A	Non-protein Signaling	5-HT
SLC18A1_TPH1|HTR6	SLC18A1_TPH1	HTR6	Non-protein Signaling	5-HT
SLC18A1_TPH1|HTR7	SLC18A1_TPH1	HTR7	Non-protein Signaling	5-HT
SLC18A1_TPH2|HTR1A	SLC18A1_TPH2	HTR1A	Non-protein Signaling	5-HT
SLC18A1_TPH2|HTR1B	SLC18A1_TPH2	HTR1B	Non-protein Signaling	5-HT
SLC18A1_TPH2|HTR1D	SLC18A1_TPH2	HTR1D	Non-protein Signaling	5-HT
SLC18A1_TPH2|HTR1E	SLC18A1_TPH2	HTR1E	Non-protein Signaling	5-HT
SLC18A1_TPH2|HTR1F	SLC18A1_TPH2	HTR1F	Non-protein Signaling	5-HT
SLC18A1_TPH2|HTR2A	SLC18A1_TPH2	HTR2A	Non-protein Signaling	5-HT
SLC18A1_TPH2|HTR2B	SLC18A1_TPH2	HTR2B	Non-protein Signaling	5-HT
SLC18A1_TPH2|HTR2C	SLC18A1_TPH2	HTR2C	Non-protein Signaling	5-HT
SLC18A1_TPH2|HTR3A_HTR3C_HTR3E_HTR3B_HTR3D	SLC18A1_TPH2	HTR3A_HTR3C_HTR3E_HTR3B_HTR3D	Non-protein Signaling	5-HT
SLC18A1_TPH2|HTR4	SLC18A1_TPH2	HTR4	Non-protein Signaling	5-HT
SLC18A1_TPH2|HTR5A	SLC18A1_TPH2	HTR5A	Non-protein Signaling	5-HT
SLC18A1_TPH2|HTR6	SLC18A1_TPH2	HTR6	Non-protein Signaling	5-HT
SLC18A1_TPH2|HTR7	SLC18A1_TPH2	HTR7	Non-protein Signaling	5-HT
SLC18A2_DBH|ADRA1A	SLC18A2_DBH	ADRA1A	Non-protein Signaling	Noradrenaline
SLC18A2_DBH|ADRA1B	SLC18A2_DBH	ADRA1B	Non-protein Signaling	Noradrenaline
SLC18A2_DBH|ADRA1D	SLC18A2_DBH	ADRA1D	Non-protein Signaling	Noradrenaline
SLC18A2_DBH|ADRA2A	SLC18A2_DBH	ADRA2A	Non-protein Signaling	Noradrenaline
SLC18A2_DBH|ADRA2B	SLC18A2_DBH	ADRA2B	Non-protein Signaling	Noradrenaline
SLC18A2_DBH|ADRA2C	SLC18A2_DBH	ADRA2C	Non-protein Signaling	Noradrenaline
SLC18A2_DBH|ADRB1	SLC18A2_DBH	ADRB1	Non-protein Signaling	Noradrenaline
SLC18A2_DBH|ADRB2	SLC18A2_DBH	ADRB2	Non-protein Signaling	Noradrenaline
SLC18A2_DBH|ADRB3	SLC18A2_DBH	ADRB3	Non-protein Signaling	Noradrenaline
SLC18A2_DDC|DRD1	SLC18A2_DDC	DRD1	Non-protein Signaling	Dopamine
SLC18A2_DDC|DRD2	SLC18A2_DDC	DRD2	Non-protein Signaling	Dopamine
SLC18A2_DDC|DRD3	SLC18A2_DDC	DRD3	Non-protein Signaling	Dopamine
SLC18A2_DDC|DRD4	SLC18A2_DDC	DRD4	Non-protein Signaling	Dopamine
SLC18A2_DDC|DRD5	SLC18A2_DDC	DRD5	Non-protein Signaling	Dopamine
SLC18A2_PNMT|ADRA1A	SLC18A2_PNMT	ADRA1A	Non-protein Signaling	Adrenaline
SLC18A2_PNMT|ADRA1B	SLC18A2_PNMT	ADRA1B	Non-protein Signaling	Adrenaline
SLC18A2_PNMT|ADRA1D	SLC18A2_PNMT	ADRA1D	Non-protein Signaling	Adrenaline
SLC18A2_PNMT|ADRA2A	SLC18A2_PNMT	ADRA2A	Non-protein Signaling	Adrenaline
SLC18A2_PNMT|ADRA2B	SLC18A2_PNMT	ADRA2B	Non-protein Signaling	Adrenaline
SLC18A2_PNMT|ADRA2C	SLC18A2_PNMT	ADRA2C	Non-protein Signaling	Adrenaline
SLC18A2_PNMT|ADRB1	SLC18A2_PNMT	ADRB1	Non-protein Signaling	Adrenaline
SLC18A2_PNMT|ADRB2	SLC18A2_PNMT	ADRB2	Non-protein Signaling	Adrenaline
SLC18A2_PNMT|ADRB3	SLC18A2_PNMT	ADRB3	Non-protein Signaling	Adrenaline
SLC18A2_TPH1|HTR1A	SLC18A2_TPH1	HTR1A	Non-protein Signaling	5-HT
SLC18A2_TPH1|HTR1B	SLC18A2_TPH1	HTR1B	Non-protein Signaling	5-HT
SLC18A2_TPH1|HTR1D	SLC18A2_TPH1	HTR1D	Non-protein Signaling	5-HT
SLC18A2_TPH1|HTR1E	SLC18A2_TPH1	HTR1E	Non-protein Signaling	5-HT
SLC18A2_TPH1|HTR1F	SLC18A2_TPH1	HTR1F	Non-protein Signaling	5-HT
SLC18A2_TPH1|HTR2A	SLC18A2_TPH1	HTR2A	Non-protein Signaling	5-HT
SLC18A2_TPH1|HTR2B	SLC18A2_TPH1	HTR2B	Non-protein Signaling	5-HT
SLC18A2_TPH1|HTR2C	SLC18A2_TPH1	HTR2C	Non-protein Signaling	5-HT
SLC18A2_TPH1|HTR3A_HTR3C_HTR3E_HTR3B_HTR3D	SLC18A2_TPH1	HTR3A_HTR3C_HTR3E_HTR3B_HTR3D	Non-protein Signaling	5-HT
SLC18A2_TPH1|HTR4	SLC18A2_TPH1	HTR4	Non-protein Signaling	5-HT
SLC18A2_TPH1|HTR5A	SLC18A2_TPH1	HTR5A	Non-protein Signaling	5-HT
SLC18A2_TPH1|HTR6	SLC18A2_TPH1	HTR6	Non-protein Signaling	5-HT
SLC18A2_TPH1|HTR7	SLC18A2_TPH1	HTR7	Non-protein Signaling	5-HT
SLC18A2_TPH2|HTR1A	SLC18A2_TPH2	HTR1A	Non-protein Signaling	5-HT
SLC18A2_TPH2|HTR1B	SLC18A2_TPH2	HTR1B	Non-protein Signaling	5-HT
SLC18A2_TPH2|HTR1D	SLC18A2_TPH2	HTR1D	Non-protein Signaling	5-HT
SLC18A2_TPH2|HTR1E	SLC18A2_TPH2	HTR1E	Non-protein Signaling	5-HT
SLC18A2_TPH2|HTR1F	SLC18A2_TPH2	HTR1F	Non-protein Signaling	5-HT
SLC18A2_TPH2|HTR2A	SLC18A2_TPH2	HTR2A	Non-protein Signaling	5-HT
SLC18A2_TPH2|HTR2B	SLC18A2_TPH2	HTR2B	Non-protein Signaling	5-HT
SLC18A2_TPH2|HTR2C	SLC18A2_TPH2	HTR2C	Non-protein Signaling	5-HT
SLC18A2_TPH2|HTR3A_HTR3C_HTR3E_HTR3B_HTR3D	SLC18A2_TPH2	HTR3A_HTR3C_HTR3E_HTR3B_HTR3D	Non-protein Signaling	5-HT
SLC18A2_TPH2|HTR4	SLC18A2_TPH2	HTR4	Non-protein Signaling	5-HT
SLC18A2_TPH2|HTR5A	SLC18A2_TPH2	HTR5A	Non-protein Signaling	5-HT
SLC18A2_TPH2|HTR6	SLC18A2_TPH2	HTR6	Non-protein Signaling	5-HT
SLC18A2_TPH2|HTR7	SLC18A2_TPH2	HTR7	Non-protein Signaling	5-HT
SLC18A3_CHAT|CHRM1	SLC18A3_CHAT	CHRM1	Non-protein Signaling	Ach
SLC18A3_CHAT|CHRM2	SLC18A3_CHAT	CHRM2	Non-protein Signaling	Ach
SLC18A3_CHAT|CHRM3	SLC18A3_CHAT	CHRM3	Non-protein Signaling	Ach
SLC18A3_CHAT|CHRM4	SLC18A3_CHAT	CHRM4	Non-protein Signaling	Ach
SLC18A3_CHAT|CHRM5	SLC18A3_CHAT	CHRM5	Non-protein Signaling	Ach
SLC18A3_CHAT|CHRNA1_CHRNB1_CHRND_CHRNE	SLC18A3_CHAT	CHRNA1_CHRNB1_CHRND_CHRNE	Non-protein Signaling	Ach
SLC18A3_CHAT|CHRNA1_CHRNB1_CHRND_CHRNG	SLC18A3_CHAT	CHRNA1_CHRNB1_CHRND_CHRNG	Non-protein Signaling	Ach
SLC18A3_CHAT|CHRNA3_CHRNB4	SLC18A3_CHAT	CHRNA3_CHRNB4	Non-protein Signaling	Ach
SLC18A3_CHAT|CHRNA4_CHRNB2	SLC18A3_CHAT	CHRNA4_CHRNB2	Non-protein Signaling	Ach
SLC18A3_CHAT|CHRNA7	SLC18A3_CHAT	CHRNA7	Non-protein Signaling	Ach
SLC1A6_GLS|GRIA1	SLC1A6_GLS	GRIA1	Non-protein Signaling	Glutamate
SLC1A6_GLS|GRIA2	SLC1A6_GLS	GRIA2	Non-protein Signaling	Glutamate
SLC1A6_GLS|GRIA3	SLC1A6_GLS	GRIA3	Non-protein Signaling	Glutamate
SLC1A6_GLS|GRIA4	SLC1A6_GLS	GRIA4	Non-protein Signaling	Glutamate
SLC1A6_GLS|GRIK1	SLC1A6_GLS	GRIK1	Non-protein Signaling	Glutamate
SLC1A6_GLS|GRIK1_GRIK4	SLC1A6_GLS	GRIK1_GRIK4	Non-protein Signaling	Glutamate
SLC1A6_GLS|GRIK2	SLC1A6_GLS	GRIK2	Non-protein Signaling	Glutamate
SLC1A6_GLS|GRIK2_GRIK4	SLC1A6_GLS	GRIK2_GRIK4	Non-protein Signaling	Glutamate
SLC1A6_GLS|GRIK3	SLC1A6_GLS	GRIK3	Non-protein Signaling	Glutamate
SLC1A6_GLS|GRIK3_GRIK4	SLC1A6_GLS	GRIK3_GRIK4	Non-protein Signaling	Glutamate
SLC1A6_GLS|GRIK3_GRIK5	SLC1A6_GLS	GRIK3_GRIK5	Non-protein Signaling	Glutamate
SLC1A6_GLS|GRIK5_GRIK1	SLC1A6_GLS	GRIK5_GRIK1	Non-protein Signaling	Glutamate
SLC1A6_GLS|GRIK5_GRIK2	SLC1A6_GLS	GRIK5_GRIK2	Non-protein Signaling	Glutamate
SLC1A6_GLS|GRIN1_GRIN2A	SLC1A6_GLS	GRIN1_GRIN2A	Non-protein Signaling	Glutamate
SLC1A6_GLS|GRIN1_GRIN2B	SLC1A6_GLS	GRIN1_GRIN2B	Non-protein Signaling	Glutamate
SLC1A6_GLS|GRIN1_GRIN2D	SLC1A6_GLS	GRIN1_GRIN2D	Non-protein Signaling	Glutamate
SLC1A6_GLS|GRIN2C_GRIN1	SLC1A6_GLS	GRIN2C_GRIN1	Non-protein Signaling	Glutamate
SLC1A6_GLS|GRM1	SLC1A6_GLS	GRM1	Non-protein Signaling	Glutamate
SLC1A6_GLS|GRM2	SLC1A6_GLS	GRM2	Non-protein Signaling	Glutamate
SLC1A6_GLS|GRM3	SLC1A6_GLS	GRM3	Non-protein Signaling	Glutamate
SLC1A6_GLS|GRM4	SLC1A6_GLS	GRM4	Non-protein Signaling	Glutamate
SLC1A6_GLS|GRM5	SLC1A6_GLS	GRM5	Non-protein Signaling	Glutamate
SLC1A6_GLS|GRM6	SLC1A6_GLS	GRM6	Non-protein Signaling	Glutamate
SLC1A6_GLS|GRM7	SLC1A6_GLS	GRM7	Non-protein Signaling	Glutamate
SLC1A6_GLS|GRM8	SLC1A6_GLS	GRM8	Non-protein Signaling	Glutamate
SLC1A6_GLS2|GRIA1	SLC1A6_GLS2	GRIA1	Non-protein Signaling	Glutamate
SLC1A6_GLS2|GRIA2	SLC1A6_GLS2	GRIA2	Non-protein Signaling	Glutamate
SLC1A6_GLS2|GRIA3	SLC1A6_GLS2	GRIA3	Non-protein Signaling	Glutamate
SLC1A6_GLS2|GRIA4	SLC1A6_GLS2	GRIA4	Non-protein Signaling	Glutamate
SLC1A6_GLS2|GRIK1	SLC1A6_GLS2	GRIK1	Non-protein Signaling	Glutamate
SLC1A6_GLS2|GRIK1_GRIK4	SLC1A6_GLS2	GRIK1_GRIK4	Non-protein Signaling	Glutamate
SLC1A6_GLS2|GRIK2	SLC1A6_GLS2	GRIK2	Non-protein Signaling	Glutamate
SLC1A6_GLS2|GRIK2_GRIK4	SLC1A6_GLS2	GRIK2_GRIK4	Non-protein Signaling	Glutamate
SLC1A6_GLS2|GRIK3	SLC1A6_GLS2	GRIK3	Non-protein Signaling	Glutamate
SLC1A6_GLS2|GRIK3_GRIK4	SLC1A6_GLS2	GRIK3_GRIK4	Non-protein Signaling	Glutamate
SLC1A6_GLS2|GRIK3_GRIK5	SLC1A6_GLS2	GRIK3_GRIK5	Non-protein Signaling	Glutamate
SLC1A6_GLS2|GRIK5_GRIK1	SLC1A6_GLS2	GRIK5_GRIK1	Non-protein Signaling	Glutamate
SLC1A6_GLS2|GRIK5_GRIK2	SLC1A6_GLS2	GRIK5_GRIK2	Non-protein Signaling	Glutamate
SLC1A6_GLS2|GRIN1_GRIN2A	SLC1A6_GLS2	GRIN1_GRIN2A	Non-protein Signaling	Glutamate
SLC1A6_GLS2|GRIN1_GRIN2B	SLC1A6_GLS2	GRIN1_GRIN2B	Non-protein Signaling	Glutamate
SLC1A6_GLS2|GRIN1_GRIN2D	SLC1A6_GLS2	GRIN1_GRIN2D	Non-protein Signaling	Glutamate
SLC1A6_GLS2|GRIN2C_GRIN1	SLC1A6_GLS2	GRIN2C_GRIN1	Non-protein Signaling	Glutamate
SLC1A6_GLS2|GRM1	SLC1A6_GLS2	GRM1	Non-protein Signaling	Glutamate
SLC1A6_GLS2|GRM2	SLC1A6_GLS2	GRM2	Non-protein Signaling	Glutamate
SLC1A6_GLS2|GRM3	SLC1A6_GLS2	GRM3	Non-protein Signaling	Glutamate
SLC1A6_GLS2|GRM4	SLC1A6_GLS2	GRM4	Non-protein Signaling	Glutamate
SLC1A6_GLS2|GRM5	SLC1A6_GLS2	GRM5	Non-protein Signaling	Glutamate
SLC1A6_GLS2|GRM6	SLC1A6_GLS2	GRM6	Non-protein Signaling	Glutamate
SLC1A6_GLS2|GRM7	SLC1A6_GLS2	GRM7	Non-protein Signaling	Glutamate
SLC1A6_GLS2|GRM8	SLC1A6_GLS2	GRM8	Non-protein Signaling	Glutamate
SLC29A4_NT5E|ADORA1	SLC29A4_NT5E	ADORA1	Non-protein Signaling	Adenosine
SLC29A4_NT5E|ADORA2A	SLC29A4_NT5E	ADORA2A	Non-protein Signaling	Adenosine
SLC29A4_NT5E|ADORA2B	SLC29A4_NT5E	ADORA2B	Non-protein Signaling	Adenosine
SLC29A4_NT5E|ADORA3	SLC29A4_NT5E	ADORA3	Non-protein Signaling	Adenosine
SLC32A1_GAD1|GABBR1	SLC32A1_GAD1	GABBR1	Non-protein Signaling	GABA-B
SLC32A1_GAD1|GABBR2	SLC32A1_GAD1	GABBR2	Non-protein Signaling	GABA-B
SLC32A1_GAD1|GABRA1_GABRB2	SLC32A1_GAD1	GABRA1_GABRB2	Non-protein Signaling	GABA-A
SLC32A1_GAD1|GABRA1_GABRB3	SLC32A1_GAD1	GABRA1_GABRB3	Non-protein Signaling	GABA-A
SLC32A1_GAD1|GABRA1_GABRD_GABRB2	SLC32A1_GAD1	GABRA1_GABRD_GABRB2	Non-protein Signaling	GABA-A
SLC32A1_GAD1|GABRA1_GABRG2_GABRB2	SLC32A1_GAD1	GABRA1_GABRG2_GABRB2	Non-protein Signaling	GABA-A
SLC32A1_GAD1|GABRA1_GABRG2_GABRB3	SLC32A1_GAD1	GABRA1_GABRG2_GABRB3	Non-protein Signaling	GABA-A
SLC32A1_GAD1|GABRA2_GABRG2_GABRB3	SLC32A1_GAD1	GABRA2_GABRG2_GABRB3	Non-protein Signaling	GABA-A
SLC32A1_GAD1|GABRA3_GABRE_GABRB3	SLC32A1_GAD1	GABRA3_GABRE_GABRB3	Non-protein Signaling	GABA-A
SLC32A1_GAD1|GABRA3_GABRG2_GABRB3	SLC32A1_GAD1	GABRA3_GABRG2_GABRB3	Non-protein Signaling	GABA-A
SLC32A1_GAD1|GABRA4_GABRD_GABRB2	SLC32A1_GAD1	GABRA4_GABRD_GABRB2	Non-protein Signaling	GABA-A
SLC32A1_GAD1|GABRA4_GABRD_GABRB3	SLC32A1_GAD1	GABRA4_GABRD_GABRB3	Non-protein Signaling	GABA-A
SLC32A1_GAD1|GABRA4_GABRG2_GABRB3	SLC32A1_GAD1	GABRA4_GABRG2_GABRB3	Non-protein Signaling	GABA-A
SLC32A1_GAD1|GABRA5_GABRG2_GABRB3	SLC32A1_GAD1	GABRA5_GABRG2_GABRB3	Non-protein Signaling	GABA-A
SLC32A1_GAD1|GABRA6_GABRD_GABRB3	SLC32A1_GAD1	GABRA6_GABRD_GABRB3	Non-protein Signaling	GABA-A
SLC32A1_GAD1|GABRA6_GABRG2_GABRB3	SLC32A1_GAD1	GABRA6_GABRG2_GABRB3	Non-protein Signaling	GABA-A
SLC32A1_GAD1|GABRQ_GABRA3_GABRB3	SLC32A1_GAD1	GABRQ_GABRA3_GABRB3	Non-protein Signaling	GABA-A
SLC32A1_GAD2|GABBR1	SLC32A1_GAD2	GABBR1	Non-protein Signaling	GABA-B
SLC32A1_GAD2|GABBR2	SLC32A1_GAD2	GABBR2	Non-protein Signaling	GABA-B
SLC32A1_GAD2|GABRA1_GABRB2	SLC32A1_GAD2	GABRA1_GABRB2	Non-protein Signaling	GABA-A
SLC32A1_GAD2|GABRA1_GABRB3	SLC32A1_GAD2	GABRA1_GABRB3	Non-protein Signaling	GABA-A
SLC32A1_GAD2|GABRA1_GABRD_GABRB2	SLC32A1_GAD2	GABRA1_GABRD_GABRB2	Non-protein Signaling	GABA-A
SLC32A1_GAD2|GABRA1_GABRG2_GABRB2	SLC32A1_GAD2	GABRA1_GABRG2_GABRB2	Non-protein Signaling	GABA-A
SLC32A1_GAD2|GABRA1_GABRG2_GABRB3	SLC32A1_GAD2	GABRA1_GABRG2_GABRB3	Non-protein Signaling	GABA-A
SLC32A1_GAD2|GABRA2_GABRG2_GABRB3	SLC32A1_GAD2	GABRA2_GABRG2_GABRB3	Non-protein Signaling	GABA-A
SLC32A1_GAD2|GABRA3_GABRE_GABRB3	SLC32A1_GAD2	GABRA3_GABRE_GABRB3	Non-protein Signaling	GABA-A
SLC32A1_GAD2|GABRA3_GABRG2_GABRB3	SLC32A1_GAD2	GABRA3_GABRG2_GABRB3	Non-protein Signaling	GABA-A
SLC32A1_GAD2|GABRA4_GABRD_GABRB2	SLC32A1_GAD2	GABRA4_GABRD_GABRB2	Non-protein Signaling	GABA-A
SLC32A1_GAD2|GABRA4_GABRD_GABRB3	SLC32A1_GAD2	GABRA4_GABRD_GABRB3	Non-protein Signaling	GABA-A
SLC32A1_GAD2|GABRA4_GABRG2_GABRB3	SLC32A1_GAD2	GABRA4_GABRG2_GABRB3	Non-protein Signaling	GABA-A
SLC32A1_GAD2|GABRA5_GABRG2_GABRB3	SLC32A1_GAD2	GABRA5_GABRG2_GABRB3	Non-protein Signaling	GABA-A
SLC32A1_GAD2|GABRA6_GABRD_GABRB3	SLC32A1_GAD2	GABRA6_GABRD_GABRB3	Non-protein Signaling	GABA-A
SLC32A1_GAD2|GABRA6_GABRG2_GABRB3	SLC32A1_GAD2	GABRA6_GABRG2_GABRB3	Non-protein Signaling	GABA-A
SLC32A1_GAD2|GABRQ_GABRA3_GABRB3	SLC32A1_GAD2	GABRQ_GABRA3_GABRB3	Non-protein Signaling	GABA-A
SLC5A7_CHAT|CHRM1	SLC5A7_CHAT	CHRM1	Non-protein Signaling	Ach
SLC5A7_CHAT|CHRM2	SLC5A7_CHAT	CHRM2	Non-protein Signaling	Ach
SLC5A7_CHAT|CHRM3	SLC5A7_CHAT	CHRM3	Non-protein Signaling	Ach
SLC5A7_CHAT|CHRM4	SLC5A7_CHAT	CHRM4	Non-protein Signaling	Ach
SLC5A7_CHAT|CHRM5	SLC5A7_CHAT	CHRM5	Non-protein Signaling	Ach
SLC5A7_CHAT|CHRNA1_CHRNB1_CHRND_CHRNE	SLC5A7_CHAT	CHRNA1_CHRNB1_CHRND_CHRNE	Non-protein Signaling	Ach
SLC5A7_CHAT|CHRNA1_CHRNB1_CHRND_CHRNG	SLC5A7_CHAT	CHRNA1_CHRNB1_CHRND_CHRNG	Non-protein Signaling	Ach
SLC5A7_CHAT|CHRNA4_CHRNB2	SLC5A7_CHAT	CHRNA4_CHRNB2	Non-protein Signaling	Ach
SLC5A7_CHAT|CHRNA7	SLC5A7_CHAT	CHRNA7	Non-protein Signaling	Ach
SLC6A12_GAD1|GABBR1	SLC6A12_GAD1	GABBR1	Non-protein Signaling	GABA-B
SLC6A12_GAD1|GABBR2	SLC6A12_GAD1	GABBR2	Non-protein Signaling	GABA-B
SLC6A12_GAD1|GABRA1_GABRB2	SLC6A12_GAD1	GABRA1_GABRB2	Non-protein Signaling	GABA-A
SLC6A12_GAD1|GABRA1_GABRB3	SLC6A12_GAD1	GABRA1_GABRB3	Non-protein Signaling	GABA-A
SLC6A12_GAD1|GABRA1_GABRD_GABRB2	SLC6A12_GAD1	GABRA1_GABRD_GABRB2	Non-protein Signaling	GABA-A
SLC6A12_GAD1|GABRA1_GABRG2_GABRB2	SLC6A12_GAD1	GABRA1_GABRG2_GABRB2	Non-protein Signaling	GABA-A
SLC6A12_GAD1|GABRA1_GABRG2_GABRB3	SLC6A12_GAD1	GABRA1_GABRG2_GABRB3	Non-protein Signaling	GABA-A
SLC6A12_GAD1|GABRA2_GABRG2_GABRB3	SLC6A12_GAD1	GABRA2_GABRG2_GABRB3	Non-protein Signaling	GABA-A
SLC6A12_GAD1|GABRA3_GABRE_GABRB3	SLC6A12_GAD1	GABRA3_GABRE_GABRB3	Non-protein Signaling	GABA-A
SLC6A12_GAD1|GABRA3_GABRG2_GABRB3	SLC6A12_GAD1	GABRA3_GABRG2_GABRB3	Non-protein Signaling	GABA-A
SLC6A12_GAD1|GABRA4_GABRD_GABRB2	SLC6A12_GAD1	GABRA4_GABRD_GABRB2	Non-protein Signaling	GABA-A
SLC6A12_GAD1|GABRA4_GABRD_GABRB3	SLC6A12_GAD1	GABRA4_GABRD_GABRB3	Non-protein Signaling	GABA-A
SLC6A12_GAD1|GABRA4_GABRG2_GABRB3	SLC6A12_GAD1	GABRA4_GABRG2_GABRB3	Non-protein Signaling	GABA-A
SLC6A12_GAD1|GABRA5_GABRG2_GABRB3	SLC6A12_GAD1	GABRA5_GABRG2_GABRB3	Non-protein Signaling	GABA-A
SLC6A12_GAD1|GABRA6_GABRD_GABRB3	SLC6A12_GAD1	GABRA6_GABRD_GABRB3	Non-protein Signaling	GABA-A
SLC6A12_GAD1|GABRA6_GABRG2_GABRB3	SLC6A12_GAD1	GABRA6_GABRG2_GABRB3	Non-protein Signaling	GABA-A
SLC6A12_GAD1|GABRQ_GABRA3_GABRB3	SLC6A12_GAD1	GABRQ_GABRA3_GABRB3	Non-protein Signaling	GABA-A
SLC6A12_GAD2|GABBR1	SLC6A12_GAD2	GABBR1	Non-protein Signaling	GABA-B
SLC6A12_GAD2|GABBR2	SLC6A12_GAD2	GABBR2	Non-protein Signaling	GABA-B
SLC6A12_GAD2|GABRA1_GABRB2	SLC6A12_GAD2	GABRA1_GABRB2	Non-protein Signaling	GABA-A
SLC6A12_GAD2|GABRA1_GABRB3	SLC6A12_GAD2	GABRA1_GABRB3	Non-protein Signaling	GABA-A
SLC6A12_GAD2|GABRA1_GABRD_GABRB2	SLC6A12_GAD2	GABRA1_GABRD_GABRB2	Non-protein Signaling	GABA-A
SLC6A12_GAD2|GABRA1_GABRG2_GABRB2	SLC6A12_GAD2	GABRA1_GABRG2_GABRB2	Non-protein Signaling	GABA-A
SLC6A12_GAD2|GABRA1_GABRG2_GABRB3	SLC6A12_GAD2	GABRA1_GABRG2_GABRB3	Non-protein Signaling	GABA-A
SLC6A12_GAD2|GABRA2_GABRG2_GABRB3	SLC6A12_GAD2	GABRA2_GABRG2_GABRB3	Non-protein Signaling	GABA-A
SLC6A12_GAD2|GABRA3_GABRE_GABRB3	SLC6A12_GAD2	GABRA3_GABRE_GABRB3	Non-protein Signaling	GABA-A
SLC6A12_GAD2|GABRA3_GABRG2_GABRB3	SLC6A12_GAD2	GABRA3_GABRG2_GABRB3	Non-protein Signaling	GABA-A
SLC6A12_GAD2|GABRA4_GABRD_GABRB2	SLC6A12_GAD2	GABRA4_GABRD_GABRB2	Non-protein Signaling	GABA-A
SLC6A12_GAD2|GABRA4_GABRD_GABRB3	SLC6A12_GAD2	GABRA4_GABRD_GABRB3	Non-protein Signaling	GABA-A
SLC6A12_GAD2|GABRA4_GABRG2_GABRB3	SLC6A12_GAD2	GABRA4_GABRG2_GABRB3	Non-protein Signaling	GABA-A
SLC6A12_GAD2|GABRA5_GABRG2_GABRB3	SLC6A12_GAD2	GABRA5_GABRG2_GABRB3	Non-protein Signaling	GABA-A
SLC6A12_GAD2|GABRA6_GABRD_GABRB3	SLC6A12_GAD2	GABRA6_GABRD_GABRB3	Non-protein Signaling	GABA-A
SLC6A12_GAD2|GABRA6_GABRG2_GABRB3	SLC6A12_GAD2	GABRA6_GABRG2_GABRB3	Non-protein Signaling	GABA-A
SLC6A12_GAD2|GABRQ_GABRA3_GABRB3	SLC6A12_GAD2	GABRQ_GABRA3_GABRB3	Non-protein Signaling	GABA-A
SLC6A3_DDC|DRD1	SLC6A3_DDC	DRD1	Non-protein Signaling	Dopamine
SLC6A3_DDC|DRD2	SLC6A3_DDC	DRD2	Non-protein Signaling	Dopamine
SLC6A3_DDC|DRD3	SLC6A3_DDC	DRD3	Non-protein Signaling	Dopamine
SLC6A3_DDC|DRD4	SLC6A3_DDC	DRD4	Non-protein Signaling	Dopamine
SLC6A3_DDC|DRD5	SLC6A3_DDC	DRD5	Non-protein Signaling	Dopamine
SLC6A4_TPH1|HTR1A	SLC6A4_TPH1	HTR1A	Non-protein Signaling	5-HT
SLC6A4_TPH1|HTR1B	SLC6A4_TPH1	HTR1B	Non-protein Signaling	5-HT
SLC6A4_TPH1|HTR1D	SLC6A4_TPH1	HTR1D	Non-protein Signaling	5-HT
SLC6A4_TPH1|HTR1E	SLC6A4_TPH1	HTR1E	Non-protein Signaling	5-HT
SLC6A4_TPH1|HTR1F	SLC6A4_TPH1	HTR1F	Non-protein Signaling	5-HT
